date;value
2021-01-21;30056.1
2021-01-22;28800.0
2021-01-23;31350.0
2021-01-24;30950.0
2021-01-25;31908.7
2021-01-26;30816.2
2021-01-27;29255.0
2021-01-28;29900.0
2021-01-29;
2021-01-30;32865.2
2021-01-31;32200.0
2021-02-01;32325.3
2021-02-02;33462.1
2021-02-03;35394.8
2021-02-04;36202.0
2021-02-05;36582.9
2021-02-06;38221.4
2021-02-07;37410.5
2021-02-08;38075.0
2021-02-09;45050.0
2021-02-10;43734.8
2021-02-11;44046.2
2021-02-12;46263.0
2021-02-13;46285.0
2021-02-14;47038.7
2021-02-15;45710.5
2021-02-16;
2021-02-17;48967.4
2021-02-18;50904.2
2021-02-19;50683.4
2021-02-20;53961.9
2021-02-21;55490.5
2021-02-22;45002.0
2021-02-23;45000.0
2021-02-24;47015.7
2021-02-25;46702.0
2021-02-26;44120.3
2021-02-27;45022.9
2021-02-28;43020.0
2021-03-01;45046.8
2021-03-02;47050.2
2021-03-03;48160.0
2021-03-04;
2021-03-05;46312.0
2021-03-06;47111.9
2021-03-07;48905.9
2021-03-08;49368.0
2021-03-09;51875.0
2021-03-10;53051.0
2021-03-11;54286.3
2021-03-12;55040.2
2021-03-13;56073.2
2021-03-14;59001.0
2021-03-15;54593.8
2021-03-16;52500.0
2021-03-17;53752.0
2021-03-18;57007.0
2021-03-19;
2021-03-20;57545.2
2021-03-21;55536.5
2021-03-22;53775.0
2021-03-23;53011.0
2021-03-24;51641.8
2021-03-25;50436.3
2021-03-26;51239.1
2021-03-27;54000.0
2021-03-28;54690.9
2021-03-29;54919.0
2021-03-30;57055.0
2021-03-31;56813.8
2021-04-01;57917.1
2021-04-02;58500.0
2021-04-03;56955.0
2021-04-04;56468.4
2021-04-05;56820.0
2021-04-06;57377.1
2021-04-07;55460.0
2021-04-08;
2021-04-09;57538.3
2021-04-10;57882.0
2021-04-11;59178.7
2021-04-12;59420.0
2021-04-13;59781.2
2021-04-14;61315.0
2021-04-15;62050.0
2021-04-16;60100.0
2021-04-17;59702.4
2021-04-18;51017.1
2021-04-19;54228.9
2021-04-20;53388.3
2021-04-21;53600.0
2021-04-22;50500.0
2021-04-23;47549.3
2021-04-24;48746.4
2021-04-25;47000.0
2021-04-26;48828.6
2021-04-27;53333.4
2021-04-28;53868.4
2021-04-29;52390.2
2021-04-30;53071.6
2021-05-01;57070.0
2021-05-02;56101.0
2021-05-03;56505.0
2021-05-04;53100.1
2021-05-05;
2021-05-06;55309.0
2021-05-07;55320.0
2021-05-08;57000.0
2021-05-09;56326.0
2021-05-10;53470.0
2021-05-11;54538.5
2021-05-12;48605.0
2021-05-13;45000.0
2021-05-14;48886.0
2021-05-15;46600.0
2021-05-16;43824.3
2021-05-17;42111.2
2021-05-18;42297.9
2021-05-19;29800.0
2021-05-20;35000.0
2021-05-21;33533.9
2021-05-22;35250.2
2021-05-23;31078.7
2021-05-24;34420.8
2021-05-25;36500.0
2021-05-26;37828.7
2021-05-27;37230.0
2021-05-28;34719.0
2021-05-29;33652.8
2021-05-30;33423.2
2021-05-31;34200.0
2021-06-01;35748.0
2021-06-02;35929.2
2021-06-03;37159.1
2021-06-04;35576.7
2021-06-05;34825.9
2021-06-06;35251.1
2021-06-07;33334.3
2021-06-08;31017.4
2021-06-09;32420.4
2021-06-10;35803.7
2021-06-11;35952.7
2021-06-12;34680.0
2021-06-13;34801.0
2021-06-14;38734.1
2021-06-15;39461.1
2021-06-16;38120.0
2021-06-17;37405.0
2021-06-18;35126.0
2021-06-19;34901.0
2021-06-20;33370.0
2021-06-21;31260.0
2021-06-22;28816.6
2021-06-23;32402.3
2021-06-24;32333.0
2021-06-25;31278.3
2021-06-26;30179.0
2021-06-27;32025.0
2021-06-28;33872.6
2021-06-29;34268.0
2021-06-30;34066.0
2021-07-01;32717.2
2021-07-02;32721.4
2021-07-03;33348.9
2021-07-04;34381.1
2021-07-05;33080.3
2021-07-06;33555.0
2021-07-07;33825.5
2021-07-08;32112.6
2021-07-09;32273.3
2021-07-10;32968.2
2021-07-11;33335.1
2021-07-12;32678.0
2021-07-13;32204.0
2021-07-14;31555.6
2021-07-15;
2021-07-16;31050.0
2021-07-17;31175.2
2021-07-18;31133.4
2021-07-19;30415.1
2021-07-20;29288.6
2021-07-21;29505.0
2021-07-22;31722.4
2021-07-23;32015.1
2021-07-24;33431.8
2021-07-25;33869.9
2021-07-26;35254.9
2021-07-27;36406.8
2021-07-28;38805.0
2021-07-29;39267.2
2021-07-30;38345.1
2021-07-31;41060.9
2021-08-01;39413.5
2021-08-02;38700.0
2021-08-03;37655.0
2021-08-04;37527.9
2021-08-05;37355.0
2021-08-06;39900.0
2021-08-07;42495.0
2021-08-08;43320.0
2021-08-09;42827.7
2021-08-10;44666.0
2021-08-11;45373.5
2021-08-12;43800.1
2021-08-13;44251.2
2021-08-14;46042.5
2021-08-15;45550.0
2021-08-16;45697.4
2021-08-17;44401.2
2021-08-18;44250.0
2021-08-19;44000.0
2021-08-20;46662.9
2021-08-21;48267.6
2021-08-22;48058.1
2021-08-23;49060.0
2021-08-24;47601.1
2021-08-25;47146.3
2021-08-26;46284.8
2021-08-27;46386.4
2021-08-28;48393.9
2021-08-29;47800.0
2021-08-30;46861.6
2021-08-31;46715.0
2021-09-01;46550.0
2021-09-02;48622.0
2021-09-03;48356.0
2021-09-04;49363.6
2021-09-05;49512.4
2021-09-06;51025.5
2021-09-07;42000.0
2021-09-08;44444.0
2021-09-09;45498.7
2021-09-10;44135.2
2021-09-11;44741.0
2021-09-12;44770.0
2021-09-13;43374.9
2021-09-14;44700.0
2021-09-15;46744.0
2021-09-16;47030.1
2021-09-17;46745.7
2021-09-18;47077.9
2021-09-19;46851.2
2021-09-20;42510.0
2021-09-21;39579.0
2021-09-22;40600.0
2021-09-23;43111.6
2021-09-24;40750.0
2021-09-25;41705.1
2021-09-26;40802.7
2021-09-27;42120.7
2021-09-28;40875.6
2021-09-29;40772.2
2021-09-30;41423.7
2021-10-01;43300.3
2021-10-02;47487.1
2021-10-03;47131.1
2021-10-04;46895.8
2021-10-05;49084.3
2021-10-06;50366.4
2021-10-07;53399.8
2021-10-08;53685.0
2021-10-09;53700.0
2021-10-10;54118.6
2021-10-11;54450.2
2021-10-12;54019.2
2021-10-13;54271.2
2021-10-14;56825.0
2021-10-15;56888.5
2021-10-16;60162.0
2021-10-17;58900.2
2021-10-18;59900.0
2021-10-19;61320.0
2021-10-20;63546.2
2021-10-21;54100.0
2021-10-22;
2021-10-23;59610.4
2021-10-24;59523.0
2021-10-25;60674.0
2021-10-26;59824.2
2021-10-27;58140.6
2021-10-28;57948.0
2021-10-29;60223.5
2021-10-30;60741.1
2021-10-31;60051.0
2021-11-01;59449.1
2021-11-02;60665.9
2021-11-03;60810.3
2021-11-04;60644.2
2021-11-05;60804.4
2021-11-06;60129.8
2021-11-07;61388.0
2021-11-08;63319.6
2021-11-09;66316.0
2021-11-10;62700.1
2021-11-11;64108.2
2021-11-12;62300.5
2021-11-13;63415.0
2021-11-14;63636.0
2021-11-15;63423.1
2021-11-16;58630.0
2021-11-17;58400.0
2021-11-18;56526.2
2021-11-19;55674.0
2021-11-20;57435.2
2021-11-21;58532.8
2021-11-22;55633.6
2021-11-23;55362.7
2021-11-24;55909.0
2021-11-25;57053.0
2021-11-26;53571.0
2021-11-27;53658.6
2021-11-28;53300.0
2021-11-29;56755.1
2021-11-30;55932.6
2021-12-01;56520.0
2021-12-02;55848.2
2021-12-03;51752.6
2021-12-04;40150.1
2021-12-05;47832.2
2021-12-06;47210.0
2021-12-07;50100.0
2021-12-08;48579.3
2021-12-09;47298.4
2021-12-10;46888.8
2021-12-11;46800.0
2021-12-12;48697.8
2021-12-13;45759.0
2021-12-14;46313.7
2021-12-15;46632.0
2021-12-16;47560.0
2021-12-17;45500.0
2021-12-18;45520.2
2021-12-19;46484.8
2021-12-20;45600.0
2021-12-21;46676.5
2021-12-22;48491.0
2021-12-23;48042.3
2021-12-24;50456.0
2021-12-25;50209.2
2021-12-26;49427.9
2021-12-27;50480.2
2021-12-28;47305.5
2021-12-29;46120.0
2021-12-30;45930.1
2021-12-31;45530.3
2022-01-01;46150.0
2022-01-02;46700.0
2022-01-03;
2022-01-04;45548.7
2022-01-05;42505.0
2022-01-06;42424.0
2022-01-07;40666.0
2022-01-08;40555.0
2022-01-09;41249.7
2022-01-10;39659.9
2022-01-11;41315.5
2022-01-12;42480.0
2022-01-13;42352.0
2022-01-14;41800.0
2022-01-15;42600.0
2022-01-16;42614.9
2022-01-17;41579.2
2022-01-18;41288.0
2022-01-19;41159.0
2022-01-20;40577.1
2022-01-21;35409.7
2022-01-22;34007.7
2022-01-23;34613.3
2022-01-24;32940.1
2022-01-25;35685.3
2022-01-26;36251.2
2022-01-27;35548.5
2022-01-28;36172.3
2022-01-29;37275.7
2022-01-30;37389.0
2022-01-31;36667.5
2022-02-01;38050.0
2022-02-02;36600.0
2022-02-03;36269.8
2022-02-04;37073.9
2022-02-05;40883.7
2022-02-06;41141.9
2022-02-07;41697.4
2022-02-08;42709.6
2022-02-09;43187.2
2022-02-10;43228.0
2022-02-11;42000.0
2022-02-12;41760.6
2022-02-13;41893.1
2022-02-14;41573.1
2022-02-15;42469.6
2022-02-16;43236.5
2022-02-17;40100.0
2022-02-18;39455.6
2022-02-19;39669.9
2022-02-20;38000.0
2022-02-21;36782.6
2022-02-22;36366.0
2022-02-23;37086.6
2022-02-24;34333.2
2022-02-25;38032.3
2022-02-26;38601.4
2022-02-27;37029.8
2022-02-28;37447.6
2022-03-01;42841.4
2022-03-02;43357.1
2022-03-03;41822.8
2022-03-04;
2022-03-05;38618.6
2022-03-06;38114.2
2022-03-07;37159.4
2022-03-08;37888.0
2022-03-09;38682.0
2022-03-10;38576.0
2022-03-11;38251.5
2022-03-12;38699.0
2022-03-13;37593.9
2022-03-14;37584.5
2022-03-15;38170.0
2022-03-16;38807.5
2022-03-17;40549.1
2022-03-18;40179.1
2022-03-19;41537.5
2022-03-20;40945.0
2022-03-21;40510.1
2022-03-22;40916.3
2022-03-23;41811.1
2022-03-24;42637.4
2022-03-25;43604.8
2022-03-26;44135.1
2022-03-27;44439.4
2022-03-28;46683.5
2022-03-29;46912.5
2022-03-30;46570.6
2022-03-31;45250.0
2022-04-01;44257.6
2022-04-02;45666.1
2022-04-03;45566.0
2022-04-04;45153.0
2022-04-05;45377.0
2022-04-06;43123.7
2022-04-07;42750.0
2022-04-08;42126.0
2022-04-09;42111.0
2022-04-10;41805.4
2022-04-11;
2022-04-12;39269.4
2022-04-13;39598.0
2022-04-14;39600.0
2022-04-15;39800.0
2022-04-16;40011.9
2022-04-17;39556.0
2022-04-18;38570.0
2022-04-19;40600.0
2022-04-20;40900.8
2022-04-21;39800.6
2022-04-22;39139.0
2022-04-23;39310.0
2022-04-24;39015.8
2022-04-25;38200.5
2022-04-26;37672.0
2022-04-27;37909.4
2022-04-28;38884.4
2022-04-29;38131.8
2022-04-30;
2022-05-01;37399.4
2022-05-02;38011.0
2022-05-03;37507.9
2022-05-04;37674.8
2022-05-05;35407.0
2022-05-06;35280.0
2022-05-07;34755.0
2022-05-08;33700.0
2022-05-09;30050.0
2022-05-10;29755.0
2022-05-11;27700.0
2022-05-12;25332.8
2022-05-13;28684.5
2022-05-14;28600.5
2022-05-15;29452.6
2022-05-16;29060.0
2022-05-17;29403.0
2022-05-18;28589.1
2022-05-19;28649.2
2022-05-20;28700.1
2022-05-21;28927.3
2022-05-22;29225.7
2022-05-23;28829.5
2022-05-24;28635.3
2022-05-25;29309.0
2022-05-26;27505.0
2022-05-27;28250.0
2022-05-28;28500.1
2022-05-29;28820.0
2022-05-30;29281.8
2022-05-31;31183.7
2022-06-01;29328.6
2022-06-02;29572.8
2022-06-03;29255.0
2022-06-04;29450.1
2022-06-05;29514.0
2022-06-06;29881.9
2022-06-07;29200.2
2022-06-08;29848.0
2022-06-09;29892.2
2022-06-10;28845.2
2022-06-11;28095.9
2022-06-12;26506.5
2022-06-13;21930.4
2022-06-14;
2022-06-15;20089.0
2022-06-16;20200.0
2022-06-17;20231.3
2022-06-18;17600.0
2022-06-19;17911.0
2022-06-20;19625.0
2022-06-21;20323.6
2022-06-22;19750.0
2022-06-23;19880.4
2022-06-24;20731.1
2022-06-25;20888.8
2022-06-26;20957.0
2022-06-27;
2022-06-28;20165.3
2022-06-29;19828.7
2022-06-30;18617.5
2022-07-01;18950.0
2022-07-02;18969.6
2022-07-03;18738.6
2022-07-04;19033.6
2022-07-05;19300.0
2022-07-06;19750.1
2022-07-07;20236.5
2022-07-08;21183.9
2022-07-09;21316.7
2022-07-10;20620.3
2022-07-11;19870.5
2022-07-12;
2022-07-13;18900.0
2022-07-14;19609.4
2022-07-15;20375.3
2022-07-16;20480.0
2022-07-17;20748.7
2022-07-18;20769.3
2022-07-19;21600.0
2022-07-20;22905.6
2022-07-21;22351.1
2022-07-22;22517.3
2022-07-23;21950.3
2022-07-24;22264.6
2022-07-25;21252.5
2022-07-26;20696.0
2022-07-27;21048.1
2022-07-28;22487.9
2022-07-29;23442.9
2022-07-30;23525.6
2022-07-31;23251.2
2022-08-01;22866.4
2022-08-02;22649.1
2022-08-03;22700.0
2022-08-04;22400.0
2022-08-05;22592.5
